再三 |さいさん |again and again; repeatedly |N/A
妨げる |さまたげる |to disturb; to prevent; to obstruct; to hinder |N/A
冷める |さめる |[1] to cool down; to get cold [2] to cool off (excitement, temper, etc.); to subside; to dampen; to fade; to wane [3] to be cold (eyes, expression, etc.); to be composed |4336
左様なら |さようなら |farewell; adieu; goodbye; so long |N/A
|サラリーマン |office worker; company employee; company man; salaryman |2215
騒がしい |さわがしい |[1] noisy; boisterous [2] turbulent (era, etc.); troubled |N/A
爽やか |さわやか |[1] fresh; refreshing; invigorating; pleasant; delightful [2] clear (voice); fluent (speech); eloquent |4664
三角 |さんかく |triangle; triangular shape |N/A
算数 |さんすう |[1] arithmetic [2] calculation |N/A
酸性 |さんせい |[1] acidity [2] acidic |N/A
産地 |さんち |producing area |N/A
|サンプル |[1] sample; example; specimen [2] display model (e.g. plastic food models used by restaurants) |N/A
山林 |さんりん |[1] mountain forest; forest on a mountain; forest land; woodland [2] mountains and forests |N/A
|サークル |[1] group with a common interest (e.g. students); club (e.g. company sports club); circle [2] circle (shape) [3] Circle |2238
材木 |ざいもく |wood (for building); lumber; timber |N/A
座敷 |ざしき |[1] tatami room; tatami mat room; formal Japanese room [2] dinner party in a tatami room (esp. when a geisha or maiko attends) |N/A
雑音 |ざつおん |[1] noise (usu. unpleasant) [2] interference (e.g. radio); static; noise [3] gossip; irresponsible criticism |N/A
座布団 |ざぶとん |zabuton; flat floor cushion used when sitting or kneeling; usu. rectangular |N/A
仕上がる |しあがる |to be finished; to be completed; to be done |N/A
明々後日 |しあさって |in three days' time; two days after tomorrow |N/A
塩辛い |しおからい |salty (taste); briny |N/A
司会 |しかい |[1] leading a meeting; presiding over a meeting; officiating at a ceremony; chairmanship [2] chairman; presenter; host; moderator; master of ceremonies |4705
四角 |しかく |quadrilateral; square |N/A
四角い |しかくい |square; rectangular |N/A
四季 |しき |the four seasons |4202
敷地 |しきち |site; plot; lot; grounds |4335
至急 |しきゅう |[1] urgent; pressing; immediate; prompt; express [2] urgently; promptly; at once; right away; without delay; as soon as possible |N/A
敷く |しく |[1] to spread out (e.g. a futon); to lay out [2] to lay down (e.g. a cushion) [3] to impose widely (e.g. martial law); to promulgate |2165
茂る |しげる |to grow thickly; to be in full leaf; to be rampant; to luxuriate; to be luxurious |N/A
四捨五入 |ししゃごにゅう |[1] rounding (off; a number); rounding half away from zero [2] rounding off (views); converging to a common opinion |N/A
始終 |しじゅう |continuously; from beginning to end; from first to last |N/A
静まる |しずまる |[1] to become quiet; to quiet down; to quieten down [2] to calm down; to die down; to subside; to abate; to be suppressed |N/A
姿勢 |しせい |[1] posture; pose; position; stance; carriage (of the body) [2] attitude; approach; stance |1485
自然科学 |しぜんかがく |natural science |N/A
子孫 |しそん |descendant; progeny; offspring |4282
死体 |したい |dead body; corpse; cadaver; carcass |3340
下書き |したがき |draft; rough copy |N/A
下町 |したまち |[1] low-lying part of a city (usu. containing shops, factories, etc.) [2] Shitamachi (low-lying area of eastern Tokyo near Tokyo Bay, incl. Asakusa, Shitaya, Kanda, Fukugawa, Honjo, Nihonbashi, Kyobashi and surrounds) [3] Shitamachi |3436
湿気 |しっけ |[1] moisture; humidity; dampness [2] Shikke |N/A
執筆 |しっぴつ |writing; authoring |N/A
尻尾 |しっぽ |[1] tail (of an animal) [2] tail end; tip |4064
執拗い |しつこい |[1] insistent; obstinate; persistent; tenacious [2] too rich (taste, etc.); fatty; heavy; greasy |4964
湿度 |しつど |level of humidity |N/A
失恋 |しつれん |disappointed love; broken heart; unrequited love; being lovelorn |N/A
指定 |してい |designation; specification; assignment; appointment; pointing at |1329
私鉄 |してつ |private railway |N/A
縛る |しばる |[1] to tie; to bind; to fasten [2] to restrict (freedom); to tie down (with rules, regulations, etc.); to fetter |3935
痺れる |しびれる |[1] to become numb; to go to sleep (e.g. a limb) [2] to get an electric shock; to tingle (from an electric shock) [3] to be excited; to be titillated; to be mesmerized; to be enthralled |N/A
紙幣 |しへい |paper money; note; bill |N/A
萎む |しぼむ |to wither (of flowers, dreams, etc.); to wilt; to droop; to shrivel; to fade (away); to sag; to deflate |N/A
絞る |しぼる |[10] to turn down (e.g. radio) [11] to bend (bow); to draw [12] to hold down; to constrict; to immobilize |2154
縞 |しま |[1] stripe; bar; streak [2] (weaved) stripe pattern (of 2 or more different colors) |N/A
沁み沁み |しみじみ |[1] keenly; deeply; fully; heartily; seriously; earnestly [2] calmly; quietly; softly [3] fixedly (gazing, staring); intently |4990
氏名 |しめい |(full) name; identity |4121
締め切る |しめきる |[1] to close up; to shut up (e.g. behind doors) [2] to cut off (e.g. because a deadline has expired); to close off (e.g. subscription list) |N/A
社会科学 |しゃかいかがく |social science |N/A
|しゃがむ |to squat; to crouch |N/A
車庫 |しゃこ |garage; carport; depot (for trains, buses, etc.); carbarn |N/A
車掌 |しゃしょう |(train) conductor |N/A
写生 |しゃせい |sketching; drawing from nature; portrayal; description |N/A
|シャッター |[1] (camera) shutter [2] shutter (for a door, window, etc.) |N/A
|しゃぶる |to suck; to lick |N/A
車輪 |しゃりん |(vehicle) wheel |N/A
洒落 |しゃれ |[1] joke; pun; jest; witticism; wordplay [2] smartly dressed; stylish; fashion-conscious; refined |N/A
集会 |しゅうかい |meeting; assembly; gathering; congregation; convention; rally |N/A
集金 |しゅうきん |money collection |N/A
集合 |しゅうごう |[1] meeting up; gathering; assembly [2] set |N/A
習字 |しゅうじ |penmanship; calligraphy |N/A
修繕 |しゅうぜん |repair; mending |N/A
終点 |しゅうてん |terminus; last stop (e.g. train) |N/A
就任 |しゅうにん |assumption (of office); taking up (a post); inauguration; installation |4665
周辺 |しゅうへん |[1] circumference; outskirts; environs; around; in the area of; in the vicinity of [2] (computer) peripheral |2007
終了 |しゅうりょう |end; close; termination |1798
縮小 |しゅくしょう |reduction; curtailment; cut; cutback; scaling down; contraction; shrinkage |4145
祝日 |しゅくじつ |national holiday; public holiday |N/A
主語 |しゅご |subject |N/A
出勤 |しゅっきん |going to work; leaving for work; attendance (at work); being at work; presence (in the office); reporting for work |N/A
出張 |しゅっちょう |business trip; official trip |N/A
主役 |しゅやく |leading part; leading actor; leading actress |3758
消化 |しょうか |[1] digestion (of food) [2] digestion (of information); assimilation; thorough understanding [3] consumption; absorption; using up; meeting (e.g. a quota); completion |N/A
小学生 |しょうがくせい |elementary school student; primary school student; grade school student |1500
仕様がない |しょうがない |[1] there's no (other) way [2] cannot be helped; unavoidable; inevitable; (there's) nothing one can do; having no choice; it is what it is [3] it's no use (doing); pointless; useless; no good; insufficient; not enough |1429
消極的 |しょうきょくてき |negative; passive; half-hearted; unmotivated |N/A
賞金 |しょうきん |prize money; monetary award; reward |N/A
将棋 |しょうぎ |shogi; Japanese chess |3452
商業 |しょうぎょう |commerce; trade; business |N/A
商社 |しょうしゃ |trading company |N/A
障子 |しょうじ |shoji (paper sliding door) |N/A
小数 |しょうすう |fraction (part of); decimal fraction |N/A
生ずる |しょうずる |[1] to produce; to yield; to cause [2] to result from; to arise; to be generated |N/A
商店 |しょうてん |shop; store; firm |N/A
焦点 |しょうてん |[1] focus; focal point [2] focus (of attention, a discussion, etc.); point at issue; central point [3] focus |4295
消毒 |しょうどく |disinfection; sterilization; sterilisation |N/A
勝敗 |しょうはい |victory or defeat; outcome (of a game, battle, etc.) |N/A
賞品 |しょうひん |prize; trophy |N/A
勝負 |しょうぶ |[1] victory or defeat [2] match; contest; game; bout [3] Shoubu |3115
小便 |しょうべん |[1] urine; piss; pee; urination [2] breaking a contract |N/A
消防署 |しょうぼうしょ |fire station |N/A
正味 |しょうみ |[1] net (amount); clear; full (e.g. working hours) [2] net weight [3] net price; cost price |N/A
正面 |しょうめん |front; frontage; facade; main |3206
省略 |しょうりゃく |[1] omission; leaving out [2] abbreviation; abridgment; abridgement; shortening (e.g. of a name) |N/A
初級 |しょきゅう |elementary level; beginner level |N/A
食塩 |しょくえん |table salt |N/A
職人 |しょくにん |[1] craftsman; artisan; tradesman; worker; workman [2] Shokunin |4148
初旬 |しょじゅん |first 10 days of the month |N/A
食器 |しょっき |tableware |4679
|ショップ |shop |4794
書店 |しょてん |bookshop; bookstore |N/A
白髪 |しらが |white hair; grey hair; gray hair |N/A
知り合い |しりあい |acquaintance |1791
私立 |しりつ |private (establishment) |4898
資料 |しりょう |material; materials; data; information; documents |1026
|シリーズ |series |3676
素人 |しろうと |[1] amateur; layman; ordinary person; novice [2] respectable woman (i.e. not a prostitute, hostess, geisha) [3] unlicensed prostitute |3627
芯 |しん |[1] wick; marrow; staple (for stapler); (pencil) lead; stuffing; pith [2] core; heart; centre; center [3] pistil (of a flower) |N/A
新幹線 |しんかんせん |[1] Shinkansen; bullet train [2] Shinkansen |2587
真空 |しんくう |[1] vacuum [2] absolute void; complete vacuity |N/A
心身 |しんしん |mind and body |4791
信ずる |しんずる |to believe; to believe in; to place trust in; to confide in; to have faith in |N/A
申請 |しんせい |application; request; petition |2360
寝台 |しんだい |bed; couch |N/A
診断 |しんだん |diagnosis; medical examination |3227
侵入 |しんにゅう |invasion; incursion; raid; aggression; intrusion; trespass; penetration; hacking |4302
深夜 |しんや |late at night |3478
森林 |しんりん |forest; woods |3182
親類 |しんるい |relative; relation; kin |N/A
針路 |しんろ |course; direction |N/A
神話 |しんわ |myth; mythology |N/A
|シーズン |[1] season (period in which regulated games are played) [2] season (division of the year) [3] season (of a TV show, etc.) |4221
|シーツ |sheet; bed sheet |N/A
|しーん |silently (as the grave); quietly (as in death) |N/A
自衛 |じえい |self-defense; self-defence |N/A
時間割 |じかんわり |timetable (esp. a weekly school timetable); schedule |N/A
持参 |じさん |bringing; taking; carrying |3941
磁石 |じしゃく |[1] magnet [2] compass |N/A
自習 |じしゅう |[1] self-study; teaching oneself [2] studying by oneself (at school) while the teacher is absent |N/A
時速 |じそく |speed (per hour) |N/A
自治 |じち |[1] self-government; autonomy [2] local (governmental) autonomy |N/A
実感 |じっかん |[1] real feeling; actual feeling [2] to actually feel; to have a real feeling (that ...); to experience personally |1461
実習 |じっしゅう |practice (in the field); training (esp. practical and hands-on); practical exercise; drill |N/A
実績 |じっせき |achievements; actual results; accomplishments; past results; track record |4109
実物 |じつぶつ |real thing; original; actual |N/A
実用 |じつよう |practical use; utility |N/A
実力 |じつりょく |[1] (real) ability; true strength; merit; efficiency; competency [2] arms; force |3269
実例 |じつれい |example; illustration; precedent |N/A
児童 |じどう |children; juvenile |3818
地盤 |じばん |[1] ground; crust (earth); bed (gravel, river, etc.) [2] foundation (building, etc.); base [3] constituency; power base; support (electoral); footing; foothold |N/A
地味 |じみ |[1] plain; simple; subdued; sober [2] reserved (behaviour, attitude, etc.); modest; quiet; unobtrusive [3] quite; a (little) bit |3909
弱点 |じゃくてん |weak point; weakness; shortcoming; defect; flaw; sore spot; tender spot |N/A
蛇口 |じゃぐち |[1] faucet; tap [2] Jaguchi |N/A
じゃん拳 |じゃんけん |rock-paper-scissors (game); janken |N/A
|ジャーナリスト |journalist |N/A
重体 |じゅうたい |serious condition; critical condition |N/A
絨毯 |じゅうたん |carpet; rug; runner |N/A
重点 |じゅうてん |[1] important point; emphasis; stress; importance; priority [2] iteration mark [3] colon (punctuation) |N/A
重役 |じゅうやく |[1] (company) director; executive; top management [2] important post; role with heavy responsibilities |N/A
重量 |じゅうりょう |weight |N/A
重力 |じゅうりょく |gravity; gravitation; gravitational pull |N/A
熟語 |じゅくご |[1] kanji compound [2] idiom; idiomatic phrase |N/A
受験 |じゅけん |taking an examination (esp. for entrance to a school or university) |1857
述語 |じゅつご |[1] predicate [2] predicate |N/A
寿命 |じゅみょう |[1] lifespan; life; lifetime [2] life (of a battery, lightbulb, etc.); service life; end of an object's (useful) life |3686
受話器 |じゅわき |(telephone) receiver |N/A
循環 |じゅんかん |circulation; rotation; cycle; loop |N/A
巡査 |じゅんさ |police officer; policeman; constable |N/A
順々 |じゅんじゅん |in order; in turn |N/A
順序 |じゅんじょ |[1] order; sequence [2] procedure |N/A
純情 |じゅんじょう |pure heart; naivete; innocence |N/A
純粋 |じゅんすい |pure; true; genuine; unmixed |3200
蒸気 |じょうき |[1] steam; vapour; vapor [2] steamboat; steam locomotive |N/A
上級 |じょうきゅう |upper level; upper grade; high rank; advanced level; senior level; upper class |N/A
定規 |じょうぎ |(measuring) ruler |N/A
上下 |じょうげ |[1] top and bottom; high and low; above and below; upper and lower ends; up and down [2] going up and down; rising and falling; fluctuating [3] going and coming back |3729
乗車 |じょうしゃ |boarding (a train, bus, etc.); getting into (e.g. a taxi) |N/A
蒸発 |じょうはつ |[1] evaporation [2] disappearance (of a person); vanishing without a trace |N/A
助教授 |じょきょうじゅ |assistant professor; associate professor |N/A
人造 |じんぞう |artificial; man-made; imitation; synthetic |N/A
人文科学 |じんぶんかがく |humanities; arts |N/A
人命 |じんめい |(human) life |N/A
酢 |す |vinegar |3306
水産 |すいさん |aquatic products; fisheries |N/A
水蒸気 |すいじょうき |water vapour; water vapor; steam |N/A
水素 |すいそ |hydrogen (H) |N/A
垂直 |すいちょく |[1] vertical [2] perpendicular |N/A
推定 |すいてい |[1] presumption; assumption [2] estimation |3877
水滴 |すいてき |[1] drop of water [2] vessel for replenishing inkstone water |N/A
水筒 |すいとう |canteen; flask; water bottle; thermos |N/A
水分 |すいぶん |water; liquid; fluid; moisture; humidity; sap; juice |2434
水平 |すいへい |horizontal; level; even |N/A
水平線 |すいへいせん |horizon (related to bodies of water) |N/A
水曜 |すいよう |Wednesday |N/A
末っ子 |すえっこ |youngest child |N/A
|スカーフ |scarf (esp. a lightweight summer scarf worn by women) |N/A
好き嫌い |すききらい |likes and dislikes; tastes; preferences; pickiness (esp. about food); choosiness; fussiness |N/A
好き好き |すきずき |matter of taste |N/A
透き通る |すきとおる |[1] to be transparent; to be see-through; to be clear [2] to be clear (of a voice or sound) |N/A
隙間 |すきま |[1] gap; opening; aperture; crevice; crack; chink; space [2] spare moment; interval; break [3] unguarded moment; carelessness; chink in one's armor; weak spot |3378
杉 |すぎ |Japanese cedar (Cryptomeria japonica) |4659
少なくとも |すくなくとも |at least |1525
|スクール |school |N/A
|スケジュール |schedule; program; calendar |3717
鈴 |すず |bell (often globular) |N/A
|スタート |[1] start; beginning [2] starting (e.g. a race); departing; starting point; starting line |1473
|スチュワーデス |stewardess; (female) flight attendant |N/A
|すっきり |[1] refreshingly; with a feeling of relief; pleasantly; (a weight) off one's shoulder [2] shapely; neatly; refinedly [3] cleanly; without trouble |2915
酸っぱい |すっぱい |sour; acid |N/A
|ステージ |[1] stage (platform) [2] performance; show [3] stage (phase); part |3065
|ストッキング |stockings |N/A
|ストップ |stop |N/A
素直 |すなお |[1] obedient; meek; docile; unaffected [2] honest; frank; upfront (about one's feelings) [3] straight (e.g. hair) |2210
|スピーカー |speaker |N/A
住まい |すまい |[1] dwelling; house; residence; address [2] living; life |3116
済まない |すまない |[1] inexcusable; unjustifiable; unpardonable [2] sorry; remorseful; apologetic; conscience-stricken; contrite [3] excuse me; (I'm) sorry; thank you |N/A
|スマート |[1] smart (clothing, etc.); stylish [2] slim; slender [3] skilful; slick; clever; adroit |N/A
墨 |すみ |[1] sumi; India ink; Chinese ink; ink stick; ink-cake [2] squid ink; octopus ink [3] carpenter's inking string |N/A
澄む |すむ |[1] to become clear (water, air, etc.); to become transparent [2] to resonate clearly (e.g. voice) [3] to become serene; to become tranquil; to be free of worries |N/A
相撲 |すもう |[1] sumo (wrestling) [2] sumo wrestler; rikishi |N/A
|スライド |[1] slide (for projection); transparency [2] (microscope) slide [3] to slide; to slip |N/A
刷る |する |[1] to print [2] to color or pattern fabric using a wooden mold |N/A
すれ違う |すれちがう |[1] to pass (by) each other; to brush past [2] to miss (meeting) each other; to fail to meet [3] to be at odds; to clash; to be in conflict |N/A
寸法 |すんぽう |[1] measurement; size; extent; dimension [2] plan; intention; arrangement; schedule |N/A
随筆 |ずいひつ |essays; miscellaneous writings; literary jottings |N/A
図々しい |ずうずうしい |impudent; shameless; brazen; forward; audacious; cheeky |N/A
図鑑 |ずかん |pictorial book; picture book; illustrated reference book; identification manual; field guide |N/A
図形 |ずけい |figure; shape; graphic |N/A
頭脳 |ずのう |[1] head; brains [2] intellect; understanding |N/A
図表 |ずひょう |chart; diagram; graph; figure |3691
|ずらす |[1] to shift; to move; to slide [2] to move (an appointment, meeting, etc.); to bring forward; to put back; to put off; to delay; to postpone; to stagger (e.g. working hours) |N/A
|ずらり |in a row; in a line |N/A
狡い |ずるい |[1] sly; cunning; sneaky; crafty; unfair; dishonest [2] miserly; mean; stingy |N/A
姓 |せい |[1] surname; family name [2] hereditary title (used in ancient Japan to denote rank and political standing) |N/A
制作 |せいさく |[1] work (film, book) [2] production; creation; turning (something) out; development |3441
製作 |せいさく |[1] manufacture; production [2] production (of a film, play, TV show, etc.) |4753
性質 |せいしつ |[1] nature (of a person); disposition; temperament; character [2] quality; inherent characteristic; property; nature; (chemical) behavior |2392
清書 |せいしょ |fair copy; clean copy |N/A
青少年 |せいしょうねん |young people; youth; the younger generation |4676
整数 |せいすう |integer |N/A
清掃 |せいそう |cleaning; clean-up; garbage collection; scavenging |N/A
生存 |せいぞん |existence; being; life; survival |N/A
生長 |せいちょう |growth (of a plant) |N/A
政党 |せいとう |political party |N/A
生年月日 |せいねんがっぴ |birth date; date of birth; DOB |N/A
性能 |せいのう |ability; performance; efficiency |4368
整備 |せいび |[1] maintenance; servicing [2] putting in place; development; improvement; preparation; provision; equipping; outfitting |840
成分 |せいぶん |ingredient; component; composition |4458
性別 |せいべつ |(distinction of) sex; gender |N/A
正方形 |せいほうけい |square |N/A
正門 |せいもん |[1] main gate; main entrance [2] Seimon |N/A
成立 |せいりつ |[1] formation; establishment; materialization; coming into existence [2] conclusion (e.g. of a deal); reaching (e.g. an agreement); approval; completion; closing; enacting; arrangement [3] being valid (of a theory, argument, etc.); holding; applying |1334
西暦 |せいれき |[1] Common Era; CE; Christian Era; anno domini; AD [2] Western (Gregorian) calendar |N/A
背負う |せおう |[1] to carry on one's back [2] to be burdened with; to take responsibility for [3] to have (something) in the background; to be in front (of something) |3618
赤道 |せきどう |equator |N/A
折角 |せっかく |[1] with trouble; at great pains [2] rare; valuable; precious; long-awaited [3] kind; generous |1307
接近 |せっきん |[1] getting closer; drawing nearer; approaching [2] being not much different; being near (age, skill, etc.) [3] becoming close (i.e. friendly); becoming intimate |N/A
接する |せっする |[1] to touch; to come in contact with; to border on; to adjoin; to be adjacent; to be close [2] to receive (e.g. visitor); to attend to; to serve; to take care of; to look after; to act towards; to deal with; to see [3] to receive (news); to get; to hear |1552
|せっせと |diligently; assiduously; industriously; beavering away |N/A
接続 |せつぞく |[1] connection; attachment; union; join; joint; link [2] changing trains [3] conjunction |2639
瀬戸物 |せともの |[1] earthenware; porcelain; china; pottery; crockery [2] Setomono |N/A
迫る |せまる |[1] to approach; to draw near; to be imminent [2] to press (someone for something); to urge; to compel |1792
攻め手 |せめて |offense; offence; method of attack |2994
攻める |せめる |to attack; to assault; to assail |3913
|セメント |cement |N/A
栓 |せん |[1] stopper; cork; plug; bung [2] tap; faucet; stopcock |N/A
洗剤 |せんざい |detergent; cleanser; cleaning agent; washing material |N/A
扇子 |せんす |folding fan |N/A
専制 |せんせい |despotism; autocracy |N/A
先々月 |せんせんげつ |month before last |N/A
先々週 |せんせんしゅう |week before last |N/A
先祖 |せんぞ |ancestor; forefather; foremother |N/A
先端 |せんたん |[1] pointed end; tip; point; cusp (of a leaf, crescent moon, etc.); apex (of a curve) [2] forefront; vanguard; spearhead; leading edge |4666
|センチ |[1] centimeter; centimetre [2] centi-; 10^-2 [3] sentimental |N/A
宣伝 |せんでん |publicity; advertisement; advertising; propaganda |3831
先頭 |せんとう |head (of a line, group, etc.); front; lead; forefront; vanguard |4536
扇風機 |せんぷうき |electric fan |N/A
線路 |せんろ |railway track; railway line; railroad; railway; track; line |4749
税関 |ぜいかん |customs; customs house |N/A
是非とも |ぜひとも |by all means; at all costs; absolutely |N/A
|ゼミ |seminar |N/A
前後 |ぜんご |[1] front and rear; front and back; before and behind; back and forth [2] before and after [3] around; about; approximately |2864
全身 |ぜんしん |[1] whole (body); full-length (e.g. portrait) [2] systemic |2724
全般 |ぜんぱん |[1] (the) whole [2] as a whole; in general; at large |N/A
相違 |そうい |difference; discrepancy; variation |4449
そう言えば |そういえば |now that you mention it; come to think of it; that reminds me; on that subject; speaking of which |N/A
倉庫 |そうこ |storehouse; warehouse; godown |4396
相互 |そうご |[1] mutual; reciprocal [2] Sougo |4784
創作 |そうさく |[1] creation; production; creative work (novel, film, etc.); original work; (creative) writing [2] fabrication; fiction; invention |N/A
葬式 |そうしき |funeral |N/A
騒々しい |そうぞうしい |[1] noisy; loud; boisterous; clamorous; raucous [2] turbulent; unsettled; restless |N/A
送別 |そうべつ |farewell; send-off |N/A
総理大臣 |そうりだいじん |prime minister (as the head of a cabinet government); premier |N/A
速達 |そくたつ |express; special delivery |N/A
測定 |そくてい |measurement |3546
速力 |そくりょく |speed |N/A
素質 |そしつ |[1] makings (of); aptitude; talent; qualities [2] nature; character; temperament |N/A
祖先 |そせん |ancestor |N/A
|そそっかしい |careless; thoughtless; hasty; rash |N/A
率直 |そっちょく |frank; candid; straightforward; openhearted; direct; outspoken |N/A
|そっと |[1] softly; gently; quietly; lightly [2] stealthily; secretly; in secret [3] to leave alone; to leave as it is |N/A
その上 |そのうえ |[1] in addition; furthermore [2] above (which); on top of (which) |N/A
その頃 |そのころ |at that time; in those days; at that moment; then |N/A
その為 |そのため |hence; for that reason |N/A
その他 |そのほか |[1] the rest; the others [2] in addition (to that); besides that; other than that; and other ... [3] and so forth; and the like; and what have you; et cetera |N/A
蕎麦 |そば |[1] buckwheat (Fagopyrum esculentum) [2] soba; Japanese buckwheat noodles [3] Chinese-style wheat noodles |N/A
剃る |そる |to shave |22
|それなのに |and yet; despite this; but even so; but even then; however; nevertheless; for all that; notwithstanding that |N/A
逸れる |それる |[1] to turn away; to bear off; to veer away; to swerve from; to miss (e.g. a target) [2] to deviate (e.g. of a conversation); to digress; to go astray; to wander |N/A
揃う |そろう |[1] to be complete; to be all present; to make a full set; to be satisfied (of conditions) [2] to be equal; to be uniform; to be even; to match; to agree [3] to gather; to assemble; to be collected |1579
揃える |そろえる |[1] to collect; to gather; to get together; to complete (a collection) [2] to arrange; to put in order; to prepare; to get ready [3] to make uniform; to make even; to match |2321
算盤 |そろばん |[1] abacus; soroban [2] calculation (esp. of profit and loss); reckoning |N/A
損得 |そんとく |loss and gain; advantage and disadvantage |N/A
雑巾 |ぞうきん |house-cloth; dust cloth |N/A
増減 |ぞうげん |increase and decrease; fluctuation |N/A
造船 |ぞうせん |shipbuilding |N/A
増大 |ぞうだい |enlargement; increase |2690
草履 |ぞうり |zori; traditional Japanese thonged sandals |N/A
属する |ぞくする |to belong to; to come under; to be affiliated with; to be subject to |2126
続々 |ぞくぞく |successively; one after another |N/A
存じる |ぞんじる |[1] to know; to be aware (of); to be acquainted (with) [2] to think; to consider; to believe; to feel |N/A
存ずる |ぞんずる |[1] to know; to be aware (of); to be acquainted (with) [2] to think; to consider; to believe; to feel |3696 
